date,store_id,item_name,category,region,inventory_level,units_sold,units_sold_7d,units_ordered,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality
2024-01-01,MY_STORE,0,Grocery,MY_REGION,16.0,0.43,3.0,3.0,3.0,759.92,0.9895778503000292,Normal,0,797.9159999999999,Winter
2024-01-01,MY_STORE,0,Grocery,MY_REGION,9.0,2.57,18.0,20.0,18.0,58.72,4.768392370572203,Normal,0,61.656,Winter
2025-06-01,MY_STORE,0,Grocery,MY_REGION,6.0,2.57,18.0,20.0,18.0,34.49,4.755001449695565,Normal,0,36.2145,Summer
2025-07-01,MY_STORE,0,Grocery,MY_REGION,1.0,0.71,5.0,6.0,5.0,34.49,4.755001449695565,Normal,0,36.2145,Summer
2025-08-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.14,1.0,1.0,1.0,34.49,4.755001449695565,Normal,0,36.2145,Summer
2025-01-01,MY_STORE,0,Grocery,MY_REGION,3.0,0.14,1.0,1.0,1.0,2630.85,4.761959062660347,Normal,0,2762.3925,Winter
2025-02-01,MY_STORE,0,Grocery,MY_REGION,1.0,0.29,2.0,2.0,2.0,2630.85,4.761959062660347,Normal,0,2762.3925,Winter
2024-01-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,9655.0,100.0,Normal,0,10137.75,Winter
2025-09-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,5937.0,100.0,Normal,0,6233.85,Fall
2025-12-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,3462.0,100.0,Normal,0,3635.1000000000004,Winter
2025-11-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,10355.0,100.0,Normal,0,10872.75,Fall
2025-06-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,9328.0,100.0,Normal,0,9794.4,Summer
2025-02-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,3220.0,100.0,Normal,0,3381.0,Winter
2025-07-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,20266.0,100.0,Normal,0,21279.3,Summer
2025-01-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,540.0,100.0,Normal,0,567.0,Winter
2025-04-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,23748.0,100.0,Normal,0,24935.4,Spring
2025-10-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,5689.0,100.0,Normal,0,5973.45,Fall
2025-06-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2019309.0,100.0,Normal,0,2120274.45,Summer
2025-06-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2028637.0,100.0,Normal,0,2130068.85,Summer
2025-01-01,MY_STORE,0,Liquor,MY_REGION,26.0,4.86,34.0,37.0,34.0,1106.51,9.090744774109591,Normal,0,1161.8355000000001,Winter
2025-02-01,MY_STORE,0,Liquor,MY_REGION,15.0,3.29,23.0,25.0,23.0,1106.51,9.090744774109591,Normal,0,1161.8355000000001,Winter
2025-03-01,MY_STORE,0,Liquor,MY_REGION,10.0,2.43,17.0,19.0,17.0,1106.51,9.090744774109591,Normal,0,1161.8355000000001,Spring
2025-04-01,MY_STORE,0,Liquor,MY_REGION,1.0,1.29,9.0,10.0,9.0,1112.68,9.090663982456778,Normal,0,1168.314,Spring
2025-05-01,MY_STORE,0,Liquor,MY_REGION,1.0,3.43,24.0,26.0,24.0,1112.67,9.090745683805629,Normal,0,1168.3035000000002,Spring
2025-06-01,MY_STORE,0,Liquor,MY_REGION,0.0,0.14,1.0,1.0,1.0,1112.67,9.090745683805629,Normal,0,1168.3035000000002,Summer
2025-05-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2396425.0,100.0,Normal,0,2516246.25,Spring
2025-05-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2405435.0,100.0,Normal,0,2525706.75,Spring
2025-08-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2312894.0,100.0,Normal,0,2428538.7,Summer
2025-11-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2772344.0,100.0,Normal,0,2910961.2,Fall
2025-08-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2317069.0,100.0,Normal,0,2432922.45,Summer
2025-11-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2761989.0,100.0,Normal,0,2900088.45,Fall
2025-09-01,MY_STORE,0,Grocery,MY_REGION,45.0,0.43,3.0,3.0,3.0,63.9,4.7574334898278545,Normal,0,67.095,Fall
2025-10-01,MY_STORE,0,Grocery,MY_REGION,37.0,1.14,8.0,9.0,8.0,63.9,4.7574334898278545,Normal,0,67.095,Fall
2025-11-01,MY_STORE,0,Grocery,MY_REGION,31.0,0.86,6.0,7.0,6.0,63.9,4.7574334898278545,Normal,0,67.095,Fall
2025-12-01,MY_STORE,0,Grocery,MY_REGION,25.0,0.86,6.0,7.0,6.0,63.9,4.7574334898278545,Normal,0,67.095,Winter
2025-08-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,4175.0,100.0,Normal,0,4383.75,Summer
2025-05-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,9010.0,100.0,Normal,0,9460.5,Spring
2025-09-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2710282.0,100.0,Normal,0,2845796.1,Fall
2025-10-01,MY_STORE,0,Grocery,MY_REGION,7.0,1.0,7.0,8.0,7.0,195.26,4.762880262214475,Normal,0,205.023,Fall
2025-11-01,MY_STORE,0,Grocery,MY_REGION,14.0,1.0,7.0,8.0,7.0,195.26,4.762880262214475,Normal,0,205.023,Fall
2025-12-01,MY_STORE,0,Grocery,MY_REGION,5.0,1.29,9.0,10.0,9.0,195.26,4.762880262214475,Normal,0,205.023,Winter
2025-04-01,MY_STORE,0,Grocery,MY_REGION,17.0,0.71,5.0,6.0,5.0,195.26,4.762880262214475,Normal,0,205.023,Spring
2025-05-01,MY_STORE,0,Grocery,MY_REGION,10.0,1.0,7.0,8.0,7.0,195.26,4.762880262214475,Normal,0,205.023,Spring
2025-06-01,MY_STORE,0,Grocery,MY_REGION,0.0,1.43,10.0,11.0,10.0,195.26,4.762880262214475,Normal,0,205.023,Summer
2025-11-01,MY_STORE,0,Grocery,MY_REGION,14.0,1.57,11.0,12.0,11.0,195.26,4.762880262214475,Normal,0,205.023,Fall
2025-12-01,MY_STORE,0,Grocery,MY_REGION,8.0,0.86,6.0,7.0,6.0,195.26,4.762880262214475,Normal,0,205.023,Winter
2025-09-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2704345.0,100.0,Normal,0,2839562.25,Fall
2025-04-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2985377.0,100.0,Normal,0,3134645.85,Spring
2025-04-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,3009125.0,100.0,Normal,0,3159581.25,Spring
2025-12-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,3103008.0,100.0,Normal,0,3258158.4,Winter
2025-12-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,3099546.0,100.0,Normal,0,3254523.3000000003,Winter
2025-07-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2663949.0,100.0,Normal,0,2797146.45,Summer
2025-07-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2684215.0,100.0,Normal,0,2818425.75,Summer
2025-01-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.43,3.0,3.0,3.0,18.4,4.782608695652169,Normal,0,19.32,Winter
2025-01-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.71,5.0,6.0,5.0,18.4,4.782608695652169,Normal,0,19.32,Winter
2025-10-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2493620.0,100.0,Normal,0,2618301.0,Fall
2025-10-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2499309.0,100.0,Normal,0,2624274.45,Fall
2025-01-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,1943259.0,100.0,Normal,0,2040421.9500000002,Winter
2025-01-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,1943799.0,100.0,Normal,0,2040988.9500000002,Winter
2025-02-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2831083.0,100.0,Normal,0,2972637.15,Winter
2025-02-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,2834303.0,100.0,Normal,0,2976018.15,Winter
2025-12-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.29,2.0,2.0,2.0,8212.21,4.761933754738366,Normal,0,8622.8205,Winter
2025-08-01,MY_STORE,0,Grocery,MY_REGION,3.0,0.14,1.0,1.0,1.0,1738.22,4.761767785435675,Normal,0,1825.131,Summer
2025-09-01,MY_STORE,0,Grocery,MY_REGION,1.0,0.29,2.0,2.0,2.0,1738.22,4.761767785435675,Normal,0,1825.131,Fall
2025-12-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.14,1.0,1.0,1.0,1738.22,4.761767785435675,Normal,0,1825.131,Winter
2025-01-01,MY_STORE,0,Grocery,MY_REGION,1.0,1.0,7.0,8.0,7.0,174.91,4.762449259619224,Normal,0,183.65550000000002,Winter
2024-01-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,3603743.0,100.0,Normal,0,3783930.1500000004,Winter
2024-01-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.0,0.0,0.0,0.0,3594088.0,100.0,Normal,0,3773792.4000000004,Winter
2025-04-01,MY_STORE,0,Grocery,MY_REGION,268.0,2.57,18.0,20.0,18.0,48.54,4.758961681087767,Normal,0,50.967,Spring
2025-05-01,MY_STORE,0,Grocery,MY_REGION,162.0,15.14,106.0,117.0,106.0,48.54,4.758961681087767,Normal,0,50.967,Spring
2025-06-01,MY_STORE,0,Grocery,MY_REGION,112.0,7.14,50.0,55.0,50.0,48.54,4.758961681087767,Normal,0,50.967,Summer
2025-07-01,MY_STORE,0,Grocery,MY_REGION,56.0,8.0,56.0,62.0,56.0,48.54,4.758961681087767,Normal,0,50.967,Summer
2025-08-01,MY_STORE,0,Grocery,MY_REGION,1.0,7.86,55.0,61.0,55.0,48.54,4.758961681087767,Normal,0,50.967,Summer
2025-09-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.14,1.0,1.0,1.0,48.54,4.758961681087767,Normal,0,50.967,Fall
2024-01-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.29,2.0,2.0,2.0,79.96,4.764882441220595,Normal,0,83.958,Winter
2025-05-01,MY_STORE,0,Grocery,MY_REGION,1.0,0.14,1.0,1.0,1.0,2695.1,4.761975436904,Normal,0,2829.855,Spring
2025-08-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.14,1.0,1.0,1.0,2695.1,4.761975436904,Normal,0,2829.855,Summer
2025-06-01,MY_STORE,0,Grocery,MY_REGION,35.0,3.57,25.0,28.0,25.0,74.51,4.764461146154893,Normal,0,78.2355,Summer
2025-07-01,MY_STORE,0,Grocery,MY_REGION,21.0,2.0,14.0,15.0,14.0,74.51,4.764461146154893,Normal,0,78.2355,Summer
2025-08-01,MY_STORE,0,Grocery,MY_REGION,2.0,2.71,19.0,21.0,19.0,74.51,4.764461146154893,Normal,0,78.2355,Summer
2025-09-01,MY_STORE,0,Grocery,MY_REGION,1.0,0.14,1.0,1.0,1.0,74.51,4.764461146154893,Normal,0,78.2355,Fall
2025-10-01,MY_STORE,0,Grocery,MY_REGION,30.0,0.14,1.0,1.0,1.0,72.19,4.7652029366948305,Normal,0,75.7995,Fall
2025-11-01,MY_STORE,0,Grocery,MY_REGION,13.0,2.43,17.0,19.0,17.0,72.19,4.7652029366948305,Normal,0,75.7995,Fall
2025-12-01,MY_STORE,0,Grocery,MY_REGION,0.0,1.86,13.0,14.0,13.0,72.19,4.7652029366948305,Normal,0,75.7995,Winter
2025-10-01,MY_STORE,0,Grocery,MY_REGION,24.0,0.86,6.0,7.0,6.0,72.19,4.7652029366948305,Normal,0,75.7995,Fall
2025-11-01,MY_STORE,0,Grocery,MY_REGION,6.0,2.57,18.0,20.0,18.0,72.19,4.7652029366948305,Normal,0,75.7995,Fall
2025-12-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.86,6.0,7.0,6.0,72.19,4.7652029366948305,Normal,0,75.7995,Winter
2025-07-01,MY_STORE,0,Grocery,MY_REGION,9.0,1.29,9.0,10.0,9.0,103.72,4.762822984959504,Normal,0,108.906,Summer
2025-08-01,MY_STORE,0,Grocery,MY_REGION,2.0,1.0,7.0,8.0,7.0,103.72,4.762822984959504,Normal,0,108.906,Summer
2025-09-01,MY_STORE,0,Grocery,MY_REGION,1.0,0.14,1.0,1.0,1.0,103.72,4.762822984959504,Normal,0,108.906,Fall
2025-06-01,MY_STORE,0,Grocery,MY_REGION,16.0,2.0,14.0,15.0,14.0,74.51,4.764461146154893,Normal,0,78.2355,Summer
2025-07-01,MY_STORE,0,Grocery,MY_REGION,0.0,2.29,16.0,18.0,16.0,74.51,4.764461146154893,Normal,0,78.2355,Summer
2025-10-01,MY_STORE,0,Grocery,MY_REGION,69.0,0.43,3.0,3.0,3.0,13.32,4.729729729729735,Normal,0,13.986,Fall
2025-11-01,MY_STORE,0,Grocery,MY_REGION,56.0,1.86,13.0,14.0,13.0,13.32,4.729729729729735,Normal,0,13.986,Fall
2025-12-01,MY_STORE,0,Grocery,MY_REGION,47.0,1.29,9.0,10.0,9.0,13.32,4.729729729729735,Normal,0,13.986,Winter
2025-02-01,MY_STORE,0,Grocery,MY_REGION,21.0,1.14,8.0,9.0,8.0,195.26,4.762880262214475,Normal,0,205.023,Winter
2025-04-01,MY_STORE,0,Grocery,MY_REGION,6.0,1.29,9.0,10.0,9.0,195.26,4.762880262214475,Normal,0,205.023,Spring
2025-05-01,MY_STORE,0,Grocery,MY_REGION,4.0,0.29,2.0,2.0,2.0,195.26,4.762880262214475,Normal,0,205.023,Spring
2025-06-01,MY_STORE,0,Grocery,MY_REGION,0.0,0.57,4.0,4.0,4.0,195.26,4.762880262214475,Normal,0,205.023,Summer
2025-07-01,MY_STORE,0,Grocery,MY_REGION,20.0,0.71,5.0,6.0,5.0,195.26,4.762880262214475,Normal,0,205.023,Summer
2025-08-01,MY_STORE,0,Grocery,MY_REGION,4.0,2.29,16.0,18.0,16.0,195.26,4.762880262214475,Normal,0,205.023,Summer
2025-09-01,MY_STORE,0,Grocery,MY_REGION,23.0,0.86,6.0,7.0,6.0,195.26,4.762880262214475,Normal,0,205.023,Fall
2025-10-01,MY_STORE,0,Grocery,MY_REGION,28.0,2.86,20.0,22.0,20.0,195.26,4.762880262214475,Normal,0,205.023,Fall
2025-11-01,MY_STORE,0,Grocery,MY_REGION,8.0,2.86,20.0,22.0,20.0,195.26,4.762880262214475,Normal,0,205.023,Fall
2025-12-01,MY_STORE,0,Grocery,MY_REGION,4.0,0.57,4.0,4.0,4.0,195.26,4.762880262214475,Normal,0,205.023,Winter
2024-01-01,MY_STORE,0,Grocery,MY_REGION,50.0,2.0,14.0,15.0,14.0,80.82,0.9898539965355075,Normal,0,84.86099999999999,Winter
2025-05-01,MY_STORE,0,Grocery,MY_REGION,10.0,0.29,2.0,2.0,2.0,549.67,0.9896847199228521,Normal,0,577.1535,Spring
